# 62663 RisoSurf
Str_Ablauf_23520 32564886.490 5778199.040 21337 0.010000    0.250  % 65.992 9999.990 -9933.998 %  MU14N536 1 6690    32.807056    
Str_Ablauf_23521 32564886.430 5778193.320 21338 0.010000    0.250  % 66.121 9999.990 -9933.870 %  MU14N536 1 7865    7.510688    
Str_Ablauf_23522 32564846.350 5778159.400 21339 0.010000    0.250  % 64.586 9999.990 -9935.405 %  MU14S533 1 7644    33.533634    
Str_Ablauf_23561 32564816.670 5778129.670 21378 0.010000    0.250  % 63.849 9999.990 -9936.141 %  MU14S523 1 7980    27.002062    
Str_Ablauf_23563 32564812.750 5778133.650 21380 0.010000    0.250  % 63.853 9999.990 -9936.137 %  MU14S523 1 9012    23.149708    
Str_Ablauf_23564 32564779.780 5778097.990 21381 0.010000    0.250  % 62.902 9999.990 -9937.088 %  MU14S521 1 9916    18.928354    
Str_Ablauf_23565 32564755.570 5778073.610 21382 0.010000    0.250  % 62.307 9999.990 -9937.683 %  MU14S517 1 10219    28.624804    
Str_Ablauf_23566 32564759.170 5778069.080 21383 0.010000    0.250  % 62.320 9999.990 -9937.671 %  MU14S517 1 11640    28.461926    
Str_Ablauf_23581 32564731.620 5778081.710 21398 0.010000    0.250  % 62.016 9999.990 -9937.974 %  MU14S509 1 8797    18.764250    
Str_Ablauf_23582 32565054.190 5778084.880 21399 0.010000    0.250  % 70.411 9999.990 -9929.579 %  MU15S524 1 9996    28.080111    
Str_Ablauf_23583 32564725.940 5778082.080 21400 0.010000    0.250  % 61.954 9999.990 -9938.036 %  MU14S509 1 8371    38.096718    
Str_Ablauf_23584 32565084.830 5778057.290 21401 0.010000    0.250  % 71.066 9999.990 -9928.924 %  MU15S526 1 11320    23.732765    
Str_Ablauf_23585 32565098.000 5778060.310 21402 0.010000    0.250  % 71.289 9999.990 -9928.701 %  MU15S509 1 7154    28.601295    
